590;0
591;0
592;0
593;0
594;0
595;0
596;0
597;0
598;0
599;0
600;0
601;1
602;2.1
603;5.2
604;9.2
605;13.5
606;18.1
607;22.3
608;26
609;29.3
610;32.8
611;36
612;39.2
613;42.5
614;45.7
615;48.2
616;48.4
617;48.2
618;47.8
619;47
620;45.9
621;44.9
622;44.4
623;44.3
624;44.5
625;45.1
626;45.7
627;46
628;46
629;46
630;46.1
631;46.7
632;47.7
633;48.9
634;50.3
635;51.6
636;52.6
637;53
638;53
639;52.9
640;52.7
641;52.6
642;53.1
643;54.3
644;55.2
645;55.5
646;55.9
647;56.3
648;56.7
649;56.9
650;56.8
651;56
652;54.2
653;52.1
654;50.1
655;47.2
656;43.2
657;39.2
658;36.5
659;34.3
660;31
661;26
662;20.7
663;15.4
664;13.1
665;12
666;12.5
667;14
668;19
669;23.2
670;28
671;32
672;34
673;36
674;38
675;40
676;40.3
677;40.5
678;39
679;35.7
680;31.8
681;27.1
682;22.8
683;21.1
684;18.9
685;18.9
686;21.3
687;23.9
688;25.9
689;28.4
690;30.3
691;30.9
692;31.1
693;31.8
694;32.7
695;33.2
696;32.4
697;28.3
698;25.8
699;23.1
700;21.8
701;21.2
702;21
703;21
704;20.9
705;19.9
706;17.9
707;15.1
708;12.8
709;12
710;13.2
711;17.1
712;21.1
713;21.8
714;21.2
715;18.5
716;13.9
717;12
718;12
719;13
720;16.3
721;20.5
722;23.9
723;26
724;28
725;31.5
726;33.4
727;36
728;37.8
729;40.2
730;41.6
731;41.9
732;42
733;42.2
734;42.4
735;42.7
736;43.1
737;43.7
738;44
739;44.1
740;45.3
741;46.4
742;47.2
743;47.3
744;47.4
745;47.4
746;47.5
747;47.9
748;48.6
749;49.4
750;49.8
751;49.8
752;49.7
753;49.3
754;48.5
755;47.6
756;46.3
757;43.7
758;39.3
759;34.1
760;29
761;23.7
762;18.4
763;14.3
764;12
765;12.8
766;16
767;20.4
768;24
769;29
770;32.2
771;36.8
772;39.4
773;43.2
774;45.8
775;49.2
776;51.4
777;54.2
778;56
779;58.3
780;59.8
781;61.7
782;62.7
783;63.3
784;63.6
785;64
786;64.7
787;65.2
788;65.3
789;65.3
790;65.4
791;65.7
792;66
793;65.6
794;63.5
795;59.7
796;54.6
797;49.3
798;44.9
799;42.3
800;41.4
801;41.3
802;43
803;45
804;46.5
805;48.3
806;49.5
807;51.2
808;52.2
809;51.6
810;49.7
811;47.4
812;43.7
813;39.7
814;35.5
815;31.1
816;26.3
817;21.9
818;18
819;17
820;18
821;21.4
822;24.8
823;27.9
824;30.8
825;33
826;35.1
827;37.1
828;38.9
829;41.4
830;44
831;46.3
832;47.7
833;48.2
834;48.7
835;49.3
836;49.8
837;50.2
838;50.9
839;51.8
840;52.5
841;53.3
842;54.5
843;55.7
844;56.5
845;56.8
846;57
847;57.2
848;57.7
849;58.7
850;60.1
851;61.1
852;61.7
853;62.3
854;62.9
855;63.3
856;63.4
857;63.5
858;63.9
859;64.4
860;65
861;65.6
862;66.6
863;67.4
864;68.2
865;69.1
866;70
867;70.8
868;71.5
869;72.4
870;73
871;73.7
872;74.4
873;74.9
874;75.3
875;75.6
876;75.8
877;76.6
878;76.5
879;76.2
880;75.8
881;75.4
882;74.8
883;73.9
884;72.7
885;71.3
886;70.4
887;70
888;70
889;69
890;68
891;67.3
892;66.2
893;64.8
894;63.6
895;62.6
896;62.1
897;61.9
898;61.9
899;61.8
900;61.5
901;60.9
902;59.7
903;54.6
904;49.3
905;44.9
906;42.3
907;41.4
908;41.3
909;42.1
910;44.7
911;46
912;48.8
913;50.1
914;51.3
915;54.1
916;55.2
917;56.2
918;56.1
919;56.1
920;56.5
921;57.5
922;59.2
923;60.7
924;61.8
925;62.3
926;62.7
927;62
928;61.3
929;60.9
930;60.5
931;60.2
932;59.8
933;59.4
934;58.6
935;57.5
936;56.6
937;56
938;55.5
939;55
940;54.4
941;54.1
942;54
943;53.9
944;53.9
945;54
946;54.2
947;55
948;55.8
949;56.2
950;56.1
951;55.1
952;52.7
953;48.4
954;43.1
955;37.8
956;32.5
957;27.2
958;25.1
959;27
960;29.8
961;33.8
962;37
963;40.7
964;43
965;45.6
966;46.9
967;47
968;46.9
969;46.5
970;45.8
971;44.3
972;41.3
973;36.5
974;31.7
975;27
976;24.7
977;19.3
978;16
979;13.2
980;10.7
981;8.8
982;7.2
983;5.5
984;3.2
985;1.1
986;0
987;0
988;0
989;0
990;0
991;0
992;0
993;0
994;0
995;0
996;0
997;0
998;0
999;0
1000;0
1001;0
1002;0
1003;0
1004;0
1005;0
1006;0
1007;0
1008;0
1009;0
1010;0
1011;0
1012;0
1013;0
1014;0
1015;0
1016;0
1017;0
1018;0
1019;0
1020;0
1021;0
1022;0
